timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1741766542.098643 0.09953432 -0.04810013 -0.00873933 0.00027106 -0.00089410 -0.00172312
1741766542.232109 0.10043286 -0.04737144 -0.00858389 0.00030938 -0.00083316 -0.00171929
1741766542.365509 0.10107848 -0.04581633 -0.00855055 0.00034043 -0.00063344 -0.00174197
1741766542.499011 0.09850922 -0.04990681 -0.00858267 0.00021479 -0.00089847 -0.00175657
1741766542.632417 0.09748041 -0.05038952 -0.00875789 0.00013768 -0.00099012 -0.00174403
1741766542.765823 0.09843003 -0.04955169 -0.00855373 0.00020550 -0.00085338 -0.00168077
1741766542.899259 0.09931117 -0.04832538 -0.00868340 0.00015985 -0.00079809 -0.00159594
1741766543.032681 0.09967863 -0.04894056 -0.00839483 0.00023216 -0.00077136 -0.00153355
1741766543.166101 0.09949161 -0.05006172 -0.00823845 0.00028572 -0.00071016 -0.00143751
1741766543.299583 0.09714064 -0.05394717 -0.00771013 0.00024847 -0.00058250 -0.00167811
1741766543.432965 0.09731444 -0.05599841 -0.00721803 0.00021607 -0.00052678 -0.00174995
1741766543.566507 0.09765769 -0.05674174 -0.00688555 0.00026926 -0.00050352 -0.00170229
1741766543.699848 0.09692534 -0.04896791 -0.00897224 0.00024060 -0.00073021 -0.00143639
1741766543.833302 0.09745312 -0.05122413 -0.00835791 0.00027121 -0.00071036 -0.00134053
1741766543.966712 0.09786341 -0.04947572 -0.00836255 0.00023935 -0.00072970 -0.00137250
1741766544.100164 0.09648948 -0.04731791 -0.00880460 0.00029708 -0.00076286 -0.00143008
1741766544.233614 0.09694031 -0.04817979 -0.00856746 0.00033073 -0.00076615 -0.00140036
1741766544.367033 0.09642078 -0.04667474 -0.00871838 0.00038745 -0.00082507 -0.00145441
1741766544.500461 0.09835581 -0.04639682 -0.00856225 0.00035847 -0.00083092 -0.00148913
1741766544.633958 0.09566835 -0.04557671 -0.00934890 0.00040957 -0.00087562 -0.00156008
1741766544.767437 0.09880568 -0.04676764 -0.00727783 0.00047304 -0.00074514 -0.00172727
1741766544.900813 0.09088002 -0.04654307 -0.00918256 0.00056767 -0.00088862 -0.00164462
1741766545.034212 0.09203227 -0.04703844 -0.00914148 0.00051647 -0.00087909 -0.00162951
1741766545.167637 0.09319159 -0.04677052 -0.00878166 0.00054700 -0.00088590 -0.00155194
1741766545.301058 0.09225594 -0.04647090 -0.00877680 0.00062395 -0.00089996 -0.00153634
1741766545.434499 0.09166280 -0.04693152 -0.00890042 0.00065159 -0.00090896 -0.00151643
1741766545.567944 0.09087849 -0.04704357 -0.00914623 0.00066533 -0.00095711 -0.00156294
1741766545.701375 0.09290113 -0.04496330 -0.00858870 0.00068935 -0.00097842 -0.00154670
1741766545.834847 0.09275982 -0.04502006 -0.00848097 0.00069447 -0.00095229 -0.00157664
1741766545.968376 0.09096376 -0.04562043 -0.00891130 0.00072605 -0.00096437 -0.00158789
1741766546.101679 0.09040872 -0.04457513 -0.00903487 0.00075364 -0.00100192 -0.00159827
1741766546.235142 0.09081234 -0.04269783 -0.00876296 0.00081361 -0.00105452 -0.00156359
1741766546.368652 0.08967150 -0.04292375 -0.00875850 0.00090510 -0.00104531 -0.00153562
1741766546.501999 0.09153445 -0.04390505 -0.00844123 0.00088395 -0.00099203 -0.00156239
1741766546.635415 0.08974605 -0.04224967 -0.00871320 0.00098223 -0.00113590 -0.00161688
1741766546.768820 0.08908753 -0.04095336 -0.00871995 0.00108759 -0.00115430 -0.00168504
1741766546.902376 0.08940561 -0.04161902 -0.00859639 0.00110831 -0.00107508 -0.00169984
1741766547.035768 0.08851685 -0.04126071 -0.00862287 0.00115564 -0.00107324 -0.00164157
1741766547.169158 0.08918020 -0.04086945 -0.00832930 0.00114830 -0.00107920 -0.00163073
1741766547.302662 0.08951183 -0.04049661 -0.00845298 0.00115842 -0.00109373 -0.00169580
1741766547.436002 0.09020868 -0.04164619 -0.00812569 0.00118298 -0.00103472 -0.00171728
1741766547.569579 0.08953506 -0.04158555 -0.00812199 0.00119596 -0.00100615 -0.00169924
1741766547.702905 0.09102783 -0.04009532 -0.00751854 0.00116641 -0.00098501 -0.00171494
1741766547.836279 0.09130416 -0.03894772 -0.00844260 0.00115573 -0.00110300 -0.00175627
1741766547.969792 0.09264369 -0.03913330 -0.00812730 0.00119272 -0.00108300 -0.00177072
1741766548.103268 0.09359512 -0.03787899 -0.00787535 0.00120213 -0.00109445 -0.00181398
1741766548.236643 0.09318565 -0.04002596 -0.00774371 0.00121441 -0.00099837 -0.00180616
1741766548.370101 0.09281381 -0.04107658 -0.00769748 0.00121487 -0.00093959 -0.00177271
1741766548.503444 0.09337576 -0.04068605 -0.00775131 0.00120536 -0.00098161 -0.00171168
1741766548.636964 0.09396786 -0.03999064 -0.00782846 0.00120103 -0.00101927 -0.00172094
1741766548.770392 0.09403814 -0.04212665 -0.00747211 0.00123622 -0.00094130 -0.00173315
1741766548.903811 0.09424787 -0.04292963 -0.00786234 0.00119418 -0.00092285 -0.00171040
1741766549.037314 0.09440807 -0.04213201 -0.00782230 0.00121024 -0.00099401 -0.00170539
1741766549.170797 0.09098343 -0.03853517 -0.00902851 0.00127483 -0.00109823 -0.00178844
1741766549.304149 0.09101156 -0.03786489 -0.00933899 0.00125652 -0.00110790 -0.00182434
1741766549.437617 0.07413047 -0.04867825 -0.01069569 0.00118488 -0.00125403 -0.00017508
1741766549.571217 0.09223410 -0.03919269 -0.00928829 0.00127895 -0.00115815 -0.00170266
1741766549.704546 0.09247008 -0.03798574 -0.00987563 0.00122168 -0.00122088 -0.00169035
1741766549.837902 0.09274745 -0.03795591 -0.00976306 0.00123425 -0.00124961 -0.00169767
1741766549.971416 0.09112921 -0.03670155 -0.00991207 0.00129268 -0.00129149 -0.00164827
1741766550.104694 0.09260743 -0.03965401 -0.00893103 0.00133201 -0.00118488 -0.00160362
1741766550.238178 0.09356401 -0.03841890 -0.00931164 0.00125996 -0.00123304 -0.00174570
1741766550.371671 0.09505119 -0.03967963 -0.00872860 0.00130792 -0.00122546 -0.00168130
1741766550.505023 0.09479307 -0.03962990 -0.00857332 0.00135918 -0.00123448 -0.00170873
1741766550.638407 0.09530820 -0.03983206 -0.00833530 0.00134042 -0.00122180 -0.00172386
1741766550.771860 0.09447267 -0.03947925 -0.00832488 0.00133408 -0.00123438 -0.00173362
1741766550.905361 0.09359400 -0.03866467 -0.00819574 0.00130168 -0.00127990 -0.00171885
1741766551.038878 0.09129270 -0.03808207 -0.00794836 0.00138176 -0.00121042 -0.00173688
1741766551.172277 0.09125976 -0.03826677 -0.00820956 0.00133898 -0.00119826 -0.00177021
1741766551.305659 0.09312209 -0.03807325 -0.00810501 0.00134905 -0.00118549 -0.00181205
1741766551.439106 0.09341183 -0.03784402 -0.00799121 0.00136272 -0.00119460 -0.00180546
1741766551.572468 0.09306631 -0.03872821 -0.00594258 0.00148981 -0.00105495 -0.00160891
1741766551.705930 0.09343691 -0.03875762 -0.00786490 0.00135526 -0.00113405 -0.00178203
1741766551.839262 0.09415822 -0.04019343 -0.00739433 0.00137517 -0.00113900 -0.00176351
1741766551.972773 0.09376921 -0.03960585 -0.00783611 0.00140598 -0.00114498 -0.00175814
1741766552.106418 0.09513007 -0.04035864 -0.00789363 0.00149156 -0.00118184 -0.00177701
1741766552.239834 0.09840813 -0.03876171 -0.00769150 0.00161320 -0.00103453 -0.00183013
1741766552.373023 0.09739035 -0.03860940 -0.00802194 0.00146009 -0.00106536 -0.00189263
1741766552.506481 0.09625578 -0.04158323 -0.00794931 0.00136613 -0.00110761 -0.00189245
1741766552.639937 0.09576436 -0.04291284 -0.00815685 0.00131734 -0.00113137 -0.00190305
1741766552.773400 0.09595939 -0.04558037 -0.00785478 0.00134752 -0.00116572 -0.00184215
1741766552.906906 0.09565527 -0.04580691 -0.00800057 0.00135151 -0.00109339 -0.00178001
1741766553.040284 0.09133169 -0.03603464 -0.00937395 0.00132046 -0.00111069 -0.00181138
1741766553.173709 0.09870634 -0.04744644 -0.00775022 0.00140754 -0.00111281 -0.00168157
1741766553.307182 0.09938217 -0.04622243 -0.00792198 0.00143053 -0.00108270 -0.00164655
1741766553.440552 0.09950766 -0.04796494 -0.00790744 0.00141035 -0.00107998 -0.00163537
1741766553.574014 0.09960496 -0.04763461 -0.00820384 0.00138099 -0.00111862 -0.00162974
1741766553.707531 0.09987432 -0.04961972 -0.00736760 0.00143895 -0.00113336 -0.00161867
1741766553.840917 0.10010088 -0.04977502 -0.00738328 0.00146018 -0.00104907 -0.00160720
1741766553.974441 0.09982780 -0.04918555 -0.00755188 0.00140318 -0.00103317 -0.00159081
1741766554.107755 0.09949510 -0.04870659 -0.00797851 0.00139999 -0.00107717 -0.00153698
1741766554.241203 0.09856168 -0.04844437 -0.00822709 0.00146430 -0.00101419 -0.00151896
1741766554.374630 0.09877077 -0.04921139 -0.00798719 0.00146878 -0.00094365 -0.00150378
1741766554.508117 0.09932897 -0.04781894 -0.00814116 0.00141253 -0.00098899 -0.00149749
1741766554.641464 0.09933760 -0.04643059 -0.00793879 0.00141080 -0.00109308 -0.00152585
1741766554.775098 0.10032070 -0.04574619 -0.00715460 0.00132835 -0.00106807 -0.00155577
1741766554.908505 0.10040717 -0.04603784 -0.00711586 0.00131857 -0.00100071 -0.00156191
1741766555.042000 0.10028966 -0.04596836 -0.00711241 0.00132782 -0.00096171 -0.00156553
1741766555.175262 0.10009937 -0.04613565 -0.00724067 0.00133730 -0.00093628 -0.00157718
1741766555.308702 0.09949478 -0.04646070 -0.00747638 0.00136305 -0.00094633 -0.00157044
1741766555.442089 0.09949409 -0.04643999 -0.00751776 0.00136189 -0.00093564 -0.00158524
1741766555.575529 0.09931896 -0.04638754 -0.00754542 0.00138038 -0.00092158 -0.00158173
1741766555.709057 0.09921920 -0.04619040 -0.00748405 0.00138735 -0.00093125 -0.00160972
1741766555.842407 0.09937632 -0.04625042 -0.00738507 0.00136991 -0.00097126 -0.00163110
1741766555.975940 0.09951237 -0.04635782 -0.00751183 0.00141750 -0.00101655 -0.00163469
1741766556.109408 0.10008664 -0.04606502 -0.00720829 0.00144925 -0.00092705 -0.00162435
1741766556.242684 0.10024290 -0.04623566 -0.00717846 0.00138543 -0.00092665 -0.00156806
1741766556.376109 0.10083951 -0.04637961 -0.00693225 0.00136148 -0.00090356 -0.00152125
1741766556.509536 0.09943008 -0.04617888 -0.00749960 0.00136221 -0.00095426 -0.00147726
1741766556.643064 0.09892308 -0.04628162 -0.00746403 0.00137944 -0.00094189 -0.00144620
1741766556.776450 0.09809784 -0.04533777 -0.00796394 0.00138821 -0.00091408 -0.00141657
